,time,agent_a,agent_b,use_condom,is_transmission
0,0,0,2,True,False
1,0,2,5,True,False
2,0,7,8,True,False
3,1,1,5,True,False
4,2,1,5,True,False
5,2,4,7,True,False
6,3,4,7,True,False
7,3,1,6,True,False
8,4,7,8,True,False
9,4,1,6,True,False
10,4,4,6,True,False
11,4,1,4,True,False
12,5,7,8,True,False
13,5,1,6,True,False
14,5,4,8,True,False
15,6,4,8,True,False
16,6,6,8,True,False
17,7,3,9,True,False
18,7,1,6,True,False
19,8,2,7,True,False
20,8,3,9,True,False
21,9,4,9,True,False
22,9,6,8,True,False
23,9,1,8,True,False
24,10,1,8,True,False
25,10,1,6,True,False
26,10,4,9,True,False
27,10,2,7,True,False
28,10,6,8,True,False
29,11,6,8,True,False
30,11,0,3,True,False
31,11,2,7,True,False
32,12,0,3,True,False
33,13,4,9,True,False
34,13,2,6,True,False
35,13,1,8,True,False
36,14,4,9,True,False
37,15,4,6,True,False
38,15,6,9,True,False
39,15,3,9,True,False
40,16,2,7,True,False
41,16,3,6,True,False
42,17,2,9,True,False
43,17,0,9,True,False
44,17,1,6,True,False
45,17,0,2,True,False
46,17,0,7,True,False
47,18,0,7,True,False
48,18,4,9,True,False
49,18,1,6,True,False
50,19,2,7,True,False
51,19,0,2,True,False
52,20,1,3,True,False
53,20,1,7,True,False
54,20,0,2,True,False
55,21,0,2,True,False
56,21,1,3,True,False
57,21,1,7,True,False
58,22,1,7,True,False
59,22,7,8,True,False
60,23,3,7,True,False
61,23,1,7,True,False
62,23,7,8,True,False
63,23,2,9,True,False
64,23,1,3,True,False
65,24,2,6,True,False
66,24,3,6,True,False
67,24,1,3,True,False
68,24,7,8,True,False
69,25,1,8,True,False
70,25,0,1,True,False
71,25,4,9,True,False
72,25,6,8,True,False
73,25,2,9,True,False
74,26,1,3,True,False
75,26,1,8,True,False
76,26,2,7,True,False
77,26,6,8,True,False
78,26,4,9,True,False
79,27,6,7,True,True
80,27,1,3,True,False
81,28,6,9,True,False
82,28,2,9,True,False
83,29,1,6,True,False
84,29,6,9,True,False
85,29,1,3,True,False
86,30,1,9,True,False
87,30,7,8,True,True
88,30,5,7,True,False
89,31,0,9,True,False
90,31,3,6,True,False
91,31,5,7,True,False
92,32,5,7,True,False
93,32,1,9,True,False
94,32,7,8,True,False
95,33,5,7,True,False
96,33,2,4,True,False
97,34,1,8,True,False
98,35,0,9,True,False
99,35,1,8,True,False
100,35,1,6,True,False
101,36,0,9,True,False
102,36,6,9,True,False
103,36,8,9,True,False
104,36,2,4,True,False
105,36,1,6,True,False
106,36,1,8,True,False
107,36,6,8,True,False
108,37,1,6,True,False
109,37,2,8,True,False
110,37,0,9,True,False
111,37,6,9,True,False
112,38,1,2,True,False
113,38,1,8,True,False
114,38,1,4,True,False
115,38,0,5,True,False
116,38,0,6,True,False
117,38,6,9,True,False
118,38,8,9,True,False
119,39,2,4,True,False
120,39,2,6,True,False
121,39,1,2,True,False
122,39,6,9,True,False
123,39,1,6,True,False
124,39,6,8,True,False
125,39,0,5,True,False
126,39,1,8,True,False
127,39,8,9,True,False
128,40,6,9,True,False
129,40,2,6,True,False
130,40,1,6,True,False
131,40,6,8,True,True
132,40,1,2,True,False
133,40,2,4,True,False
134,41,6,8,True,False
135,41,1,8,True,False
136,41,4,7,True,False
137,41,2,9,True,False
138,41,0,5,True,False
139,41,6,9,True,False
140,41,0,9,True,False
141,42,2,9,True,False
142,42,6,9,True,False
143,42,1,6,True,False
144,42,0,9,True,False
145,42,1,8,True,False
146,42,0,5,True,False
147,43,0,5,True,False
148,43,2,6,True,False
149,43,1,8,True,False
150,43,7,8,True,False
151,44,0,5,True,False
152,44,2,6,True,False
153,45,0,5,True,False
154,46,1,9,True,False
155,46,1,4,True,False
156,46,6,7,True,False
157,46,4,9,True,False
158,47,1,4,True,False
159,47,1,9,True,False
160,47,6,7,True,False
161,48,2,7,True,False
162,48,6,7,True,False
163,49,1,9,True,False
164,49,4,8,True,True
165,50,1,9,True,False
166,50,3,6,True,False
167,50,4,8,True,True
168,51,1,9,True,False
169,51,3,6,True,False
170,51,2,6,True,False
171,52,2,6,True,False
172,54,4,5,True,False
173,54,0,1,True,False
174,54,2,6,True,True
175,54,0,5,True,False
176,54,3,8,True,False
177,55,7,9,True,False
178,55,3,8,True,False
179,55,2,6,True,False
180,55,4,5,True,False
181,56,4,5,True,False
182,56,7,9,True,False
183,57,5,6,True,False
184,57,1,4,True,False
185,58,5,6,True,False
186,58,8,9,True,False
187,58,1,4,True,False
188,59,0,4,True,False
189,59,8,9,True,False
190,59,6,8,True,False
191,60,0,7,True,False
192,60,3,8,True,False
193,60,3,6,True,True
194,61,6,8,True,False
195,61,3,9,True,False
196,61,3,6,True,False
197,61,6,9,True,False
198,62,4,5,True,False
199,62,3,9,True,False
200,62,6,9,True,False
201,63,6,9,True,False
202,63,3,9,True,False
203,63,4,8,True,False
204,63,1,7,True,False
205,63,2,3,True,False
206,64,2,3,True,False
207,64,4,8,True,False
208,64,6,9,True,False
209,65,0,8,True,False
210,65,2,3,True,False
211,65,6,9,True,False
212,66,0,8,True,True
213,66,2,6,True,False
214,66,6,9,True,False
215,67,0,5,True,True
216,67,2,6,True,False
217,67,2,9,True,False
218,68,0,8,True,False
219,69,4,6,True,False
220,69,0,5,True,False
221,69,2,6,True,False
222,69,8,9,True,False
223,69,0,8,True,False
224,70,4,6,True,False
225,71,0,7,True,False
226,71,4,6,True,False
227,71,5,8,True,False
228,72,0,5,True,False
229,73,2,3,True,False
230,73,4,6,True,False
231,74,4,6,True,False
232,75,3,6,True,False
233,75,4,6,True,True
234,76,3,5,True,False
235,76,4,6,True,False
236,76,4,9,True,False
237,77,1,4,True,False
238,77,6,9,True,False
239,77,0,2,True,False
240,77,0,5,True,False
241,77,3,5,True,False
242,77,2,5,True,False
243,78,2,3,True,False
244,78,3,5,True,False
245,78,0,7,True,False
246,78,2,5,True,False
247,79,3,6,True,False
248,79,5,6,True,True
249,79,2,3,True,False
250,80,2,4,True,False
251,80,0,2,True,False
252,81,5,6,True,False
253,81,0,2,True,False
254,81,2,3,True,False
255,82,3,6,True,False
256,82,0,6,True,False
257,82,5,6,True,False
258,82,0,3,True,False
259,82,1,7,True,True
260,82,2,3,True,False
261,83,0,2,True,False
262,83,0,3,True,False
263,83,0,6,True,False
264,83,5,8,True,False
265,83,3,5,True,False
266,83,3,6,True,True
267,84,3,8,True,False
268,84,2,6,True,False
269,84,0,5,True,False
270,86,1,7,True,False
271,86,2,6,True,False
272,87,4,5,True,False
273,87,0,2,True,False
274,87,2,6,True,False
275,88,3,7,True,False
276,88,2,6,True,False
277,88,6,9,True,False
278,88,0,2,True,True
279,90,3,7,True,False
280,90,1,2,True,False
281,91,0,8,True,False
282,92,0,8,True,False
283,92,0,5,True,False
284,92,5,8,True,False
285,92,2,3,True,False
286,93,2,3,True,False
287,93,5,8,True,False
288,93,0,5,True,False
289,93,1,2,True,False
290,93,7,8,True,True
291,93,0,7,True,False
292,93,0,6,True,False
293,94,2,3,True,True
294,94,0,6,True,False
295,94,5,8,True,False
296,94,0,7,True,False
297,95,0,6,True,False
298,96,2,3,True,False
299,96,0,6,True,False
300,96,0,1,True,False
301,96,4,5,True,False
302,96,1,6,True,False
303,97,2,3,True,True
304,97,4,5,True,True
305,97,0,1,True,False
306,97,1,8,True,False
307,97,0,8,True,False
308,98,4,5,True,False
309,98,3,9,True,False
310,98,0,8,True,False
311,99,0,1,True,False
312,99,0,4,True,False
313,99,1,6,True,False
314,99,5,8,True,False
315,99,2,3,True,False
